A000069,Democratic,"Akaka, Daniel K.",Hawaii,Senate:1990-2013 House:1977-1991,49,19
A000360,Republican,"Alexander, Lamar",Tennessee,Senate:2003-2021,16,15
A000109,Republican,"Allard, Wayne",Colorado,Senate:1997-2009 House:1991-1997,0,0
B001261,Republican,"Barrasso, John",Wyoming,Senate:2007-Present,12,8
B000243,Democratic,"Baucus, Max",Montana,Senate:1979-2014 House:1975-1979,30,17
B001233,Democratic,"Bayh, Evan",Indiana,Senate:1999-2011,13,20
B000382,Republican,"Bennett, Robert F.",Utah,Senate:1993-2011,4,21
B000444,Democratic,"Biden, Joseph R., Jr.",Delaware,Senate:1973-2009,0,0
B000468,Democratic,"Bingaman, Jeff",NewMexico,Senate:1983-2013,43,52
B000611,Republican,"Bond, Christopher S.",Missouri,Senate:1987-2011,9,16
B000711,Democratic,"Boxer, Barbara",California,Senate:1993-2017 House:1983-1993,61,77
B000944,Democratic,"Brown, Sherrod",Ohio,Senate:2007-Present House:1993-2007,57,46
B000953,Republican,"Brownback, Sam",Kansas,Senate:1996-2011 House:1995-1996,16,22
B001066,Republican,"Bunning, Jim",Kentucky,Senate:1999-2011 House:1987-1999,8,15
B001135,Republican,"Burr, Richard",NorthCarolina,Senate:2005-2023 House:1995-2005,0,0
B001210,Democratic,"Byrd, Robert C.",WestVirginia,Senate:1959-2010 House:1953-1959,8,7
C000127,Democratic,"Cantwell, Maria",Washington,Senate:2001-Present House:1993-1995,21,35
C000141,Democratic,"Cardin, Benjamin L.",Maryland,Senate:2007-Present House:1987-2007,12,25
C000174,Democratic,"Carper, Thomas R.",Delaware,Senate:2001-Present House:1983-1993,12,14
C001070,Democratic,"Casey, Robert P., Jr.",Pennsylvania,Senate:2007-Present,0,0
C000286,Republican,"Chambliss, Saxby",Georgia,Senate:2003-2015 House:1995-2003,12,23
C001041,Democratic,"Clinton, Hillary Rodham",NewYork,Senate:2001-2009,97,66
C000560,Republican,"Coburn, Tom",Oklahoma,Senate:2005-2015 House:1995-2001,9,29
C000567,Republican,"Cochran, Thad",Mississippi,Senate:1979-2018 House:1973-1979,2,33
C001057,Republican,"Coleman, Norm",Minnesota,Senate:2003-2009,39,33
C001035,Republican,"Collins, Susan M.",Maine,Senate:1997-Present,0,0
C000705,Democratic,"Conrad, Kent",NorthDakota,Senate:1987-2013,9,15
C001071,Republican,"Corker, Bob",Tennessee,Senate:2007-2019,1,12
C001056,Republican,"Cornyn, John",Texas,Senate:2002-Present,24,50
C000858,Republican,"Craig, Larry E.",Idaho,Senate:1991-2009 House:1981-1991,15,20
C000880,Republican,"Crapo, Mike",Idaho,Senate:1999-Present House:1993-1999,0,0
D000595,Republican,"DeMint, Jim",SouthCarolina,Senate:2005-2012 House:1999-2005,15,22
D000388,Democratic,"Dodd, Christopher J.",Connecticut,Senate:1981-2011 House:1975-1981,48,32
D000601,Republican,"Dole, Elizabeth",NorthCarolina,Senate:2003-2009,0,0
D000407,Republican,"Domenici, Pete V.",NewMexico,Senate:1973-2009,30,36
D000432,Democratic,"Dorgan, Byron L.",NorthDakota,Senate:1991-2011 House:1981-1993,28,21
D000563,Democratic,"Durbin, Richard J.",Illinois,Senate:1997-Present House:1983-1997,0,0
E000194,Republican,"Ensign, John",Nevada,Senate:2001-2011 House:1995-1999,13,29
E000285,Republican,"Enzi, Michael B.",Wyoming,Senate:1997-2021,16,30
F000061,Democratic,"Feingold, Russell D.",Wisconsin,Senate:1993-2011,0,0
F000062,Democratic,"Feinstein, Dianne",California,Senate:1992-Present,82,58
G000359,Republican,"Graham, Lindsey",SouthCarolina,Senate:2003-Present House:1995-2003,10,13
G000386,Republican,"Grassley, Chuck",Iowa,Senate:1981-Present House:1975-1981,0,0
G000445,Republican,"Gregg, Judd",NewHampshire,Senate:1993-2011 House:1981-1989,8,9
H001028,Republican,"Hagel, Chuck",Nebraska,Senate:1997-2009,0,0
H000206,Democratic,"Harkin, Tom",Iowa,Senate:1985-2015 House:1975-1985,30,21
H000338,Republican,"Hatch, Orrin G.",Utah,Senate:1977-2019,24,30
H001016,Republican,"Hutchison, Kay Bailey",Texas,Senate:1993-2013,23,24
I000024,Republican,"Inhofe, James M.",Oklahoma,Senate:1994-2023 House:1987-1995,49,32
I000025,Democratic,"Inouye, Daniel K.",Hawaii,Senate:1963-2012 House:1959-1963,28,20
I000055,Republican,"Isakson, Johnny",Georgia,Senate:2005-2019 House:1999-2005,21,35
J000177,Democratic,"Johnson, Tim",SouthDakota,Senate:1997-2015 House:1987-1997,15,33
K000105,Democratic,"Kennedy, Edward M.",Massachusetts,Senate:1961-2009,33,38
K000148,Democratic,"Kerry, John F.",Massachusetts,Senate:1985-2013,0,0
K000367,Democratic,"Klobuchar, Amy",Minnesota,Senate:2007-Present,16,29
K000305,Democratic,"Kohl, Herb",Wisconsin,Senate:1989-2013,22,11
K000352,Republican,"Kyl, Jon",Arizona,"Senate:1995-2013,2018-2019 House:1987-1995",25,23
L000550,Democratic,"Landrieu, Mary L.",Louisiana,Senate:1997-2015,51,35
L000123,Democratic,"Lautenberg, Frank R.",NewJersey,"Senate:1983-2001,2003-2013",29,43
L000174,Democratic,"Leahy, Patrick J.",Vermont,Senate:1975-2023,35,42
L000261,Democratic,"Levin, Carl",Michigan,Senate:1979-2015,42,28
L000304,Independent Democrat,"Lieberman, Joseph I.",Connecticut,Senate:1989-2013,17,43
L000035,Democratic,"Lincoln, Blanche L.",Arkansas,Senate:1999-2011 House:1993-1997,0,0
L000447,Republican,"Lott, Trent",Mississippi,Senate:1989-2007 House:1973-1989,5,15
L000504,Republican,"Lugar, Richard G.",Indiana,Senate:1977-2013,12,17
M001162,Republican,"Martinez, Mel",Florida,Senate:2005-2009,24,39
M000303,Republican,"McCain, John",Arizona,Senate:1987-2018 House:1983-1987,10,14
M001170,Democratic,"McCaskill, Claire",Missouri,Senate:2007-2019,16,23
M000355,Republican,"McConnell, Mitch",Kentucky,Senate:1985-Present,20,45
M000639,Democratic,"Menendez, Robert",NewJersey,Senate:2006-Present House:1993-2006,43,56
M000702,Democratic,"Mikulski, Barbara A.",Maryland,Senate:1987-2017 House:1977-1987,13,30
M001153,Republican,"Murkowski, Lisa",Alaska,Senate:2003-Present,9,8
M001111,Democratic,"Murray, Patty",Washington,Senate:1993-Present,27,31
N000032,Democratic,"Nelson, Bill",Florida,Senate:2001-2019 House:1979-1991,38,23
N000180,Democratic,"Nelson, Ben",Nebraska,Senate:2001-2013,0,0
O000167,Democratic,"Obama, Barack",Illinois,Senate:2005-2008,26,33
P000590,Democratic,"Pryor, Mark L.",Arkansas,Senate:2003-2015,0,0
R000122,Democratic,"Reed, Jack",RhodeIsland,Senate:1997-Present House:1991-1997,16,16
R000146,Democratic,"Reid, Harry",Nevada,Senate:1987-2017 House:1983-1987,88,24
R000307,Republican,"Roberts, Pat",Kansas,Senate:1997-2021 House:1981-1997,13,21
R000361,Democratic,"Rockefeller, John D., IV",WestVirginia,Senate:1985-2015,0,0
S001163,Democratic,"Salazar, Ken",Colorado,Senate:2005-2009,27,24
S000033,Independent,"Sanders, Bernard",Vermont,Senate:2007-Present House:1991-2007,14,61
S000148,Democratic,"Schumer, Charles E.",NewYork,Senate:1999-Present House:1981-1999,81,55
S001141,Republican,"Sessions, Jeff",Alabama,Senate:1997-2017,13,22
S000320,Republican,"Shelby, Richard C.",Alabama,Senate:1987-2023 House:1979-1987,2,4
S001142,Republican,"Smith, Gordon H.",Oregon,Senate:1997-2009,0,0
S000663,Republican,"Snowe, Olympia J.",Maine,Senate:1995-2013 House:1979-1995,34,38
S000709,Democratic,"Specter, Arlen",Pennsylvania,Senate:1981-2011,21,38
S000770,Democratic,"Stabenow, Debbie",Michigan,Senate:2001-Present House:1997-2001,21,30
S000888,Republican,"Stevens, Ted",Alaska,Senate:1967-2009,0,0
S001078,Republican,"Sununu, John E.",NewHampshire,Senate:2003-2009 House:1997-2003,9,12
T000464,Democratic,"Tester, Jon",Montana,Senate:2007-Present,12,27
T000162,Republican,"Thomas, Craig",Wyoming,Senate:1995-2007 House:1989-1995,6,8
T000250,Republican,"Thune, John",SouthDakota,Senate:2005-Present House:1997-2003,18,20
V000127,Republican,"Vitter, David",Louisiana,Senate:2005-2017 House:1999-2005,64,36
V000126,Republican,"Voinovich, George V.",Ohio,Senate:1999-2011,21,41
W000154,Republican,"Warner, John",Virginia,Senate:1979-2009,0,0
W000803,Democratic,"Webb, Jim",Virginia,Senate:2007-2013,1,9
W000802,Democratic,"Whitehouse, Sheldon",RhodeIsland,Senate:2007-Present,6,42
W000437,Republican,"Wicker, Roger F.",Mississippi,Senate:2007-Present House:1995-2007,0,0
W000779,Democratic,"Wyden, Ron",Oregon,Senate:1996-Present House:1981-1996,18,12
